id,name,weight,type,contract_part_id
8b74cd78-c8cd-471a-a996-bcc8789bb7c8,,100,AC_PRICE,96f2cc76-0e87-4a1f-9057-813acd3f395d
ef64a057-857e-47e9-b6fc-cab635dbe836,Celková cena pro hodnocení /Kč,60,AC_COST,c3964c8f-a9ec-47ba-89d1-a61c3a6e383e
28b0d02f-558c-4e1c-b2cd-977e33c5d2f5,Hovorné pro hodnocení /číslo,40,AC_COST,c3964c8f-a9ec-47ba-89d1-a61c3a6e383e
306c79b4-39eb-4b97-8c24-88018c26bb1e,,100,AC_PRICE,d4e85440-18aa-4229-8578-27fb8cba4df8
5edc3919-edd5-4e15-a231-acb0a78a8de8,,100,AC_PRICE,0c790b6e-9599-4060-9b13-a2cbdacf8cef
3bbf8f88-a3df-4742-880c-10e9bdd7617e,Nejnižší nabídková cena,100 %,AC_QUALITY,04c0892f-77fe-45ef-a0ef-2d9c20ecf18f
637dc1c3-3859-430a-8642-5f8064faa65e,,100%,AC_PRICE,04c0892f-77fe-45ef-a0ef-2d9c20ecf18f
db1763b2-6471-4501-af94-a070313504ca,Měrný výkon motoru (technické parametry nabízeného řešení),20%,AC_QUALITY,1de8ee6d-35f6-4776-9364-78ec731528ca
bd8fde1c-9a87-4a2d-9fc9-91db7966ac68,,80%,AC_PRICE,1de8ee6d-35f6-4776-9364-78ec731528ca
cd1c133c-cc16-4b96-9b85-a095cc25028d,Kvalita ZP,30,AC_QUALITY,c402bce1-f1f7-481a-9232-daca98a0d3b3
5e571fc5-48d0-47e9-957f-84a225c84b13,,70,AC_PRICE,c402bce1-f1f7-481a-9232-daca98a0d3b3
41c563c4-73e2-4edb-80ae-1d605591368f,,100,AC_PRICE,5ad3e925-b736-455e-a456-e93116b35450
bfb0e97c-0b24-4544-b9d7-2d958067322e,nabídková cena - seč,60%,AC_COST,7a3890ca-86f3-4543-839f-bf80d0b7f06b
ff171034-e56b-416e-9e0d-e59f62bac164,nabídková cena - vyhrabání listí,20%,AC_COST,7a3890ca-86f3-4543-839f-bf80d0b7f06b
b5293d7d-4ff8-4fe1-bf7c-512a75aee938,nabídková cena - živé ploty,5%,AC_COST,7a3890ca-86f3-4543-839f-bf80d0b7f06b
1bc26874-c152-42ef-bec9-fd6fba0e31cf,nabídková cena - údržba keřových porostů,5%,AC_COST,7a3890ca-86f3-4543-839f-bf80d0b7f06b
