contract_id,criterion,description,label
         3255013,Cena,"Modernizácia sa týka tridsiatichpiatich (35) kusov osobných vozňov 2. triedy radu Bdt (ďalej aj ako ""osobný vozeň"",
""OV"") vyrobených v rokoch 1986/1987 určených pre regionálnu dopravu.
Predmetom zákazky je modernizácia v rozsahu h","Opravy, údržba a súvisiace služby týkajúce sa lietadiel, železníc, ciest a námorného loďstva"
         3255113,Kritéria nákladov,"Stavebné práce ktorých riešením je odvádzanie splaškových odpadových vôd v obciach Horný Bar, Trstená na Ostrove, Jurová a Baka a rekonštrukcia čistiarne odpadových vôd v meste Gabčíkovo na ktorú budú splaškové odpadové v",Stavebné práce na stavbe potrubných vedení vody a kanalizácie
         3255113,Lehota realizácie,"Stavebné práce ktorých riešením je odvádzanie splaškových odpadových vôd v obciach Horný Bar, Trstená na Ostrove, Jurová a Baka a rekonštrukcia čistiarne odpadových vôd v meste Gabčíkovo na ktorú budú splaškové odpadové v",Stavebné práce na stavbe potrubných vedení vody a kanalizácie
         3255113,Celková cena stavebných prác v EUR bez DPH,"Stavebné práce ktorých riešením je odvádzanie splaškových odpadových vôd v obciach Horný Bar, Trstená na Ostrove, Jurová a Baka a rekonštrukcia čistiarne odpadových vôd v meste Gabčíkovo na ktorú budú splaškové odpadové v",Stavebné práce na stavbe potrubných vedení vody a kanalizácie
         3255220,Kritéria nákladov,"Predmetom zákazky je návrh a realizácia opatrení na zvýšenie prevádzkovej efektívnosti energetického hospodárstva súboru budov Národného ústavu tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie vo Vyšných Hágoch a zlepš",Energetika a súvisiace služby
         3255220,Celková cena za realizáciu predmetu zákazky vrátane DPH,"Predmetom zákazky je návrh a realizácia opatrení na zvýšenie prevádzkovej efektívnosti energetického hospodárstva súboru budov Národného ústavu tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie vo Vyšných Hágoch a zlepš",Energetika a súvisiace služby
         3255220,Celkové ročné úspory vrátane DPH,"Predmetom zákazky je návrh a realizácia opatrení na zvýšenie prevádzkovej efektívnosti energetického hospodárstva súboru budov Národného ústavu tuberkulózy, pľúcnych chorôb a hrudníkovej chirurgie vo Vyšných Hágoch a zlepš",Energetika a súvisiace služby
         3255257,Kvalitatívne ukazovatele,Predmetom zákazky je dodávka nových nepoužívaných mobilných počítačov s dotykovou obrazovkou a príslušenstvo a nových nepoužívaných mobilných tlačiarní a príslušenstvo vrátane rozšírenej záruky. Predmetné mobilné zaria,Prenosné počítače
         3255257,Cena,Predmetom zákazky je dodávka nových nepoužívaných mobilných počítačov s dotykovou obrazovkou a príslušenstvo a nových nepoužívaných mobilných tlačiarní a príslušenstvo vrátane rozšírenej záruky. Predmetné mobilné zaria,Prenosné počítače
         3255272,Lehota dodania,Predmetom zákazky je dodanie tovaru a poskytnutie služieb do dátových centier obstarávateľa v súlade s určenými obchodnými podmienkami. Podrobný opis predmetu zákazky je uvedený v súťažných podkladoch zverejnených v Profile obs,Servery
         3255272,Cena,Predmetom zákazky je dodanie tovaru a poskytnutie služieb do dátových centier obstarávateľa v súlade s určenými obchodnými podmienkami. Podrobný opis predmetu zákazky je uvedený v súťažných podkladoch zverejnených v Profile obs,Servery
         3255584,Kritéria nákladov,Navrhovaný objekt bude novostavba. Objekt bude slúžiť ako základňová stanica HZS pre oblastné stredisko Západné Tatry - Juh. V danej lokalite je HZS od roku 2003 v prenajatom objekte súp. č.367 od Horskej služby Západné Tatry - Ju,Stavebné práce na budovách horskej služby
         3255584,Lehota realizácie,Navrhovaný objekt bude novostavba. Objekt bude slúžiť ako základňová stanica HZS pre oblastné stredisko Západné Tatry - Juh. V danej lokalite je HZS od roku 2003 v prenajatom objekte súp. č.367 od Horskej služby Západné Tatry - Ju,Stavebné práce na budovách horskej služby
         3255584,Celková cena stavebných prác v EUR s DPH,Navrhovaný objekt bude novostavba. Objekt bude slúžiť ako základňová stanica HZS pre oblastné stredisko Západné Tatry - Juh. V danej lokalite je HZS od roku 2003 v prenajatom objekte súp. č.367 od Horskej služby Západné Tatry - Ju,Stavebné práce na budovách horskej služby
         3255681,Kritéria nákladov,"Predmetom zákazky je vykonávanie opráv mobilnej hasičskej techniky - špeciálnych nadstavieb CAS30 na podvozkoch Iveco Trackker a Tatra T-815-7. Špeciálne nadstavby slúžia na prepravu nádrže na vodu, nádrže na penidlo, vysokotlaké",Oprava a údržba nákladných vozidiel
         3255681,Výška poskytnutej zľavy v % z katalógových cien náhradných dielov,"Predmetom zákazky je vykonávanie opráv mobilnej hasičskej techniky - špeciálnych nadstavieb CAS30 na podvozkoch Iveco Trackker a Tatra T-815-7. Špeciálne nadstavby slúžia na prepravu nádrže na vodu, nádrže na penidlo, vysokotlaké",Oprava a údržba nákladných vozidiel
         3255681,Cena 1 Nh opráv čerpadla T-3000 v Euro s DPH,"Predmetom zákazky je vykonávanie opráv mobilnej hasičskej techniky - špeciálnych nadstavieb CAS30 na podvozkoch Iveco Trackker a Tatra T-815-7. Špeciálne nadstavby slúžia na prepravu nádrže na vodu, nádrže na penidlo, vysokotlaké",Oprava a údržba nákladných vozidiel
         3255681,Cena za vybrané náhradné diely v Euro s DPH,"Predmetom zákazky je vykonávanie opráv mobilnej hasičskej techniky - špeciálnych nadstavieb CAS30 na podvozkoch Iveco Trackker a Tatra T-815-7. Špeciálne nadstavby slúžia na prepravu nádrže na vodu, nádrže na penidlo, vysokotlaké",Oprava a údržba nákladných vozidiel
