contract_id,criterion,description,label
         3256127,Kritéria nákladov,Cieľom projektu je zefektívnenie existujúceho separovaného zberu komunálneho odpadu zavedením separácie biologicky rozložiteľného komunálneho odpadu v obci Šarišské Dravce. Objekt zberného dvora bude slúžiť na sústredenie zber,Stavebné práce
         3256127,Lehota,Cieľom projektu je zefektívnenie existujúceho separovaného zberu komunálneho odpadu zavedením separácie biologicky rozložiteľného komunálneho odpadu v obci Šarišské Dravce. Objekt zberného dvora bude slúžiť na sústredenie zber,Stavebné práce
         3256127,Cena,Cieľom projektu je zefektívnenie existujúceho separovaného zberu komunálneho odpadu zavedením separácie biologicky rozložiteľného komunálneho odpadu v obci Šarišské Dravce. Objekt zberného dvora bude slúžiť na sústredenie zber,Stavebné práce
         3256132,Kritéria nákladov,"Predmetom zákazky je výkon činnosti Stavebnotechnického dozoru na projekte výstavby úseku diaľnice D1 Lietavská Lúčka - Višňové - Dubná Skala, pričom Zmluva na uskutočnenie stavebných prác na stavbu Lietavská Lúčka - Višňo",Stavebný dozor na stavenisku
         3256132,Denná sadzba na kľúčového odborníka,"Predmetom zákazky je výkon činnosti Stavebnotechnického dozoru na projekte výstavby úseku diaľnice D1 Lietavská Lúčka - Višňové - Dubná Skala, pričom Zmluva na uskutočnenie stavebných prác na stavbu Lietavská Lúčka - Višňo",Stavebný dozor na stavenisku
         3256132,Denná sadzba na nekľúčového odborníka,"Predmetom zákazky je výkon činnosti Stavebnotechnického dozoru na projekte výstavby úseku diaľnice D1 Lietavská Lúčka - Višňové - Dubná Skala, pričom Zmluva na uskutočnenie stavebných prác na stavbu Lietavská Lúčka - Višňo",Stavebný dozor na stavenisku
         3256132,Navrhovaná zmluvná cena,"Predmetom zákazky je výkon činnosti Stavebnotechnického dozoru na projekte výstavby úseku diaľnice D1 Lietavská Lúčka - Višňové - Dubná Skala, pričom Zmluva na uskutočnenie stavebných prác na stavbu Lietavská Lúčka - Višňo",Stavebný dozor na stavenisku
         3256148,Kritéria nákladov,"Predmetom verejného obstarávania je dodávka nových horských kosačiek s príslušenstvom v počte 2 ks (horská kosačka, čelný mulčovač, disková kosa, obracač-zhrňovač, lis na balíky, balička sena, náves za traktor) vrátane col",Kosačky
         3256148,Lehota dodania tovaru,"Predmetom verejného obstarávania je dodávka nových horských kosačiek s príslušenstvom v počte 2 ks (horská kosačka, čelný mulčovač, disková kosa, obracač-zhrňovač, lis na balíky, balička sena, náves za traktor) vrátane col",Kosačky
         3256148,Cena,"Predmetom verejného obstarávania je dodávka nových horských kosačiek s príslušenstvom v počte 2 ks (horská kosačka, čelný mulčovač, disková kosa, obracač-zhrňovač, lis na balíky, balička sena, náves za traktor) vrátane col",Kosačky
         3256270,Kritéria nákladov,Zámerom verejného obstarávateľa sú stavebné úpravy budovy Obecného úradu v Herľanoch.,Stavebné práce
         3256270,Lehota realizácie prác,Zámerom verejného obstarávateľa sú stavebné úpravy budovy Obecného úradu v Herľanoch.,Stavebné práce
         3256270,lcelková cena,Zámerom verejného obstarávateľa sú stavebné úpravy budovy Obecného úradu v Herľanoch.,Stavebné práce
